Title;Issn;SJR Best Quartile;Categories
Ca-A Cancer Journal for Clinicians;15424863, 00079235;Q1;"Hematology (Q1); Oncology (Q1)"
MMWR Recommendations and Reports;10575987, 15458601;Q1;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
Nature Reviews Molecular Cell Biology;14710072, 14710080;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
Quarterly Journal of Economics;00335533, 15314650;Q1;Economics and Econometrics (Q1)
Nature Reviews Drug Discovery;14741784, 14741776;Q1;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
Nature Reviews Clinical Oncology;17594782, 17594774;Q1;Oncology (Q1)
American Economic Review;19447981, 00028282;Q1;Economics and Econometrics (Q1)
Nature Reviews Cancer;1474175X, 14741768;Q1;"Cancer Research (Q1); Oncology (Q1)"
Journal of Finance;00221082, 15406261;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Foundations and Trends in Machine Learning;19358245, 19358237;Q1;"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)"
Cell;00928674, 10974172;Q1;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Econometrica;00129682, 14680262;Q1;Economics and Econometrics (Q1)
Nature Reviews Materials;20588437;Q1;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
Review of Economic Studies;00346527, 1467937X;Q1;Economics and Econometrics (Q1)
New England Journal of Medicine;00284793, 15334406;Q1;Medicine (miscellaneous) (Q1)
Annals of Oncology;15698041, 09237534;Q1;"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
Cancer Cell;15356108, 18783686;Q1;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
Nature Biotechnology;15461696, 10870156;Q1;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
World Psychiatry;17238617;Q1;Psychiatry and Mental Health (Q1)
Nature Medicine;1546170X, 10788956;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Nature;14764687, 00280836;Q1;Multidisciplinary (Q1)
Reviews of Modern Physics;00346861, 15390756;Q1;Physics and Astronomy (miscellaneous) (Q1)
Nature Reviews Disease Primers;2056676X;Q1;Medicine (miscellaneous) (Q1)
Journal of Financial Economics;0304405X;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
Nature Energy;20587546;Q1;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Nature Reviews Immunology;14741741, 14741733;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
Nature Methods;15487091, 15487105;Q1;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
Journal of Political Economy;00223808, 1537534X;Q1;Economics and Econometrics (Q1)
Nature Genetics;10614036, 15461718;Q1;Genetics (Q1)
Review of Financial Studies;14657368, 08939454;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Chemical Reviews;15206890, 00092665;Q1;Chemistry (miscellaneous) (Q1)
Annual Review of Immunology;15453278, 07320582;Q1;"Immunology (Q1); Immunology and Allergy (Q1)"
Nature Reviews Genetics;14710056, 14710064;Q1;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
National Vital Statistics Reports;15518922, 15518930;Q1;Life-span and Life-course Studies (Q1)
MMWR Surveillance Summaries;15458636, 15460738;Q1;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
Nature Reviews Methods Primers;26628449;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Nature Nanotechnology;17483387, 17483395;Q1;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
Living Reviews in Relativity;14338351, 23673613;Q1;Physics and Astronomy (miscellaneous) (Q1)
Academy of Management Review;03637425;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Nature Materials;14764660, 14761122;Q1;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
IEEE Communications Surveys and Tutorials;1553877X;Q1;Electrical and Electronic Engineering (Q1)
Nature Catalysis;25201158;Q1;"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)"
Academy of Management Annals;19416520, 19416067;Q1;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
